"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"Biology (Conservation Biology), BSc (Hons)",,,"https://www.bathspa.ac.uk/courses/ug-biology-conservation-biology/ ",,,,"Undergraduate degree - single honours",,,,,,,14700,9250,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We accept a wide range of qualifications for entry to our undergraduate programmes. The main ones are listed below: </span></p>
<ul>
<li><span style=""font-weight: 400;"">A Level - grades BCC-CCC including a Grade C in Biology, Human Biology, Biological Sciences or Social Biology.</span></li>
<li><span style=""font-weight: 400;"">BTEC - Extended Diploma grades from Distinction, Merit, Merit (DMM) to Merit, Merit, Merit (MMM) in a related subject. </span></li>
<li><span style=""font-weight: 400;"">International Baccalaureate - a minimum of 27 points are required with a minimum of Grade 6 in Biology or a related subject at Higher Level.</span></li>
<li><span style=""font-weight: 400;"">Access to HE courses - typical offers for applicants with Access to HE will be the Access to HE Diploma or Access to HE Certificate (60 credits, 45 of which must be Level 3, including 30 at merit or higher) in a science or related subject. </span></li>
</ul>
<p><strong>English Language Requirements for International and EU Applicants</strong></p>
<p><span style=""font-weight: 400;"">IELTS 6.0 - for visa nationals, with a minimum score of IELTS 5.5 in each element.</span></p>
<p><strong>Course enquiries</strong></p>
<p><span style=""font-weight: 400;"">For further information about the programme or entry requirements, please email us at <a href=""mailto:admissions@bathspa.ac.uk"" target=""_blank"">admissions@bathspa.ac.uk</a>.<br></span></p></div>","<div class=""collapsible-content-text""><p>All Biology students cover a broad range of fundamental biology topics, from cell biology and genetics, to plant, animal, and human biology. In additional, you’ll take specialised modules in conservation biology, gaining a range of appropriate knowledge and skills.</p>
<p>The course is real-world focused; you’ll graduate as a professional biologist, prepared to solve a range of problems and keep up-to-date with scientific advances.</p></div>","<div class=""collapsible-content-text""><p><strong>Year one</strong><br>The first year focuses on fundamental topics such as cell biology, genetics, anatomy and physiology, evolution, classification, food production and ecosystems. Associated practical classes give you hands-on experience of these concepts. You’ll also study a biodiversity and conservation module to develop your knowledge and skills in many contemporary themes of plant and animal conservation. You may choose to study modules in human biology, biochemistry, nutrition or earth science.</p>
<p><strong>Year two</strong><br>The second year covers a range of important human, animal and plant biology. You’ll also consider important concepts in biology such as ethics, biosecurity, genetics and technology. Additional topics you can study include ecology, biodiversity monitoring, environmental sustainability, biodiversity and microbiology. Modules in business, psychology and science publishing are also available.</p>
<p>There is an optional Professional Placement Year between your second and final year, giving you the opportunity to put your classroom knowledge and skills into practice in a relevant role.</p>
<p><strong>Year three</strong><br>You’ll carry out a dissertation in the final year. This substantial research project enables you to experience being responsible for planning, implementing and reporting on a conservation biology topic. In addition, you may study topics in nature conservation, animal behaviour, marine biology, digital imaging and plant biology. Modules in business, psychology and science publishing are also available.</p></div>","<div class=""collapsible-content-text""><p>Biology graduates have a range of professions including environmental consultant, wildlife trust warden, livestock manager and science technician. Graduates have been employed by companies including Nicholas Pearson Associates, New Zealand Department of Conservation and RSPB.</p></div>"
"Biology, BSc (Hons)",,,"https://www.bathspa.ac.uk/courses/ug-biology/",,,,"Undergraduate degree - single or combined honours",,,,,,,14700,9250,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We accept a wide range of qualifications for entry to our undergraduate programmes. The main ones are listed below: </span></p>
<ul>
<li><span style=""font-weight: 400;"">A Level - grades BCC-CCC including a Grade C in Biology, Human Biology, Biological Sciences or Social Biology.</span></li>
<li><span style=""font-weight: 400;"">BTEC - Extended Diploma grades from Distinction, Merit, Merit (DMM) to Merit, Merit, Merit (MMM) in a related subject. </span></li>
<li><span style=""font-weight: 400;"">International Baccalaureate - a minimum of 27 points are required with a minimum of Grade 6 in Biology or a related subject at Higher Level.</span></li>
<li><span style=""font-weight: 400;"">Access to HE courses - typical offers for applicants with Access to HE will be the Access to HE Diploma or Access to HE Certificate (60 credits, 45 of which must be Level 3, including 30 at merit or higher) in a science or related subject. </span></li>
</ul>
<p><strong>English Language Requirements for International and EU Applicants</strong></p>
<p><span style=""font-weight: 400;"">IELTS 6.0 - for visa nationals, with a minimum score of IELTS 5.5 in each element.</span></p>
<p><strong>Course enquiries</strong></p>
<p><span style=""font-weight: 400;"">For further information about the programme or entry requirements, please email us at <a href=""mailto:admissions@bathspa.ac.uk"" target=""_blank"">admissions@bathspa.ac.uk</a>.</span></p></div>","<div class=""collapsible-content-text""><p>The course covers a broad range of fundamental biology topics, from cell biology and genetics to plant, animal and human biology. In additional to these core topics, you have a wide range of modules to choose from, allowing you to develop a particular theme which interests you.</p>
<p>You’ll develop a broad range of skills, some specific to Biology, while others are useful in varied professional environments. The course is real-world focused; you’ll graduate as a professional Biologist, prepared to solve a range of problems and keep up-to-date with scientific advances.</p></div>","<div class=""collapsible-content-text""><p><strong>Year one</strong><strong><em><br></em></strong>We focus on fundamental topics such as cell biology, genetics, anatomy and physiology, evolution, classification, food production and ecosystems. Associated practical classes give you hands-on experience of these concepts, and optional modules allow you to explore themes – such as biodiversity, microbiology, human biology, food production, nutrition, biochemistry and science communication – in more detail.</p>
<p><strong>Year two</strong><strong><em><br></em></strong>We'll cover a range of concepts including biological systems and the importance of biology in real life. You'll explore themes such as ecology, environmental management, microbiology, human pathophysiology, biodiversity and food analysis, allowing you to develop your interests at a higher level. You can also select optional topics in business, education, science journalism and psychology. </p>
<p>An optional Professional Placement Year between your second and final years gives you the opportunity to put your knowledge and skills into practice and gain relevant and vlauable experience in the workplace. </p>
<p><strong>Year three</strong><strong><em><br></em></strong>Single honours and major students will undertake a dissertation in the final year. This substantial research project enables you to experience being responsible for planning, implementing and reporting on a biology topic. </p>
<p>In addition, you may study topics in medical biology, environmental practice, exercise science, animal behaviour, food safety, epidemiology, marine biology, plant biology and wildlife documentary. Themes in business, education, psychology and science publishing are also available.</p></div>","<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">Biology graduates have a range of professions including teaching, medical lab assistant, wildlife trust warden and science technician. Graduates have been employed by companies including NHS, New Zealand Department of Conservation and RSPB.</span></p></div>"
"Business and Management (Accounting), MA",,,"https://www.bathspa.ac.uk/courses/pg-business-and-management-accounting/ ",,,,"Postgraduate degree ",,,,,,,13700,7400,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p>You'll normally have a good undergraduate degree in any academic subject. You may be considered without an undergraduate degree, if you can demonstrate considerable relevant experience. You may be asked to attend an interview.</p>
<p>If English is not your first language, you'll need to provide evidence of proficiency in written and spoken English. A minimum language level of IELTS 6.0 (with 5.5 in each component) or equivalent is required.</p></div>","<div class=""collapsible-content-text""><p>Our courses are designed to allow you to tailor your programme of study to your academic interests and career aspirations. You’ll take a mix of taught modules (core and optional) and complete a major dissertation/consultancy project.</p>
<p>If you choose to study one of our Business and Management pathway routes, there are pathway-specific required modules, and your final dissertation/consultancy project will be in your chosen specialism.</p>
<p>In addition to the University’s <a href=""/international/support/english-language-unit/"">English Language Unit</a>, further support is offered to international students whose first language is not English via the <strong>Advanced Academic and Business Skills</strong> module. This module works in conjunction with your other modules to develop your employability, business and academic English language skills, and to help you build confidence in your own ability to work at postgraduate level in international, cultural and professional contexts.</p></div>",,"<div class=""collapsible-content-text""><p>This Master’s programme is designed to prepare you for a wide range of occupations in general management across all industry sectors and the international environment.</p>
<p>It delivers practical skills and techniques applicable to business and management careers in marketing, enterprise and business start-ups, accounting management and international business.</p>
<p>Depending on your pathway and the modules you study, we have a number of professional opportunities for further business and management sector accreditation. Please contact the course leader for more information.</p></div>"
"Assessment Only Route to Qualified Teacher Status, QTS",,,"https://www.bathspa.ac.uk/courses/qts-assessment-only-programme/",,,,"Initial Teacher Education ",,,,,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p>It’s important to note that this is not a training course – we expect you to be meeting the teachers’ standards before starting the assessment period. It is expected that you have a significant teaching role in a school/setting that is prepared to support you through the assessment period.</p>
<p>Your school will need to provide a <a href=""/media/bathspaacuk/how-to-apply/2018-AO-Statement-from-supporting-school.docx"">supporting statement</a>, which must be submitted with your application form.</p></div>",,"<div class=""collapsible-content-text""><p>The Assessment Only route culminates in Qualified Teacher Status (QTS). This will enable you to apply for a range of teaching posts and other education based employment.</p></div>"
"Business and Management (Accounting), BA (Hons)",,,"https://www.bathspa.ac.uk/courses/ug-business-and-management-accounting/",,,,"Undergraduate degree - single honours",,,,,,,13700,9250,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We accept a wide range of qualifications for entry to our undergraduate programmes. The main ones are listed below:</span></p>
<ul>
<li><span style=""font-weight: 400;"">A Level - grades BCC-CCC preferred. </span></li>
<li><span style=""font-weight: 400;"">BTEC - Extended Diploma grades from Distinction, Merit, Merit (DMM) to Merit, Merit, Merit (MMM) accepted in any subject.</span></li>
<li><span style=""font-weight: 400;"">International Baccalaureate - a minimum of 27 points are required.</span></li>
<li><span style=""font-weight: 400;"">Access to HE courses - typical offers for applicants with Access to HE will be the Access to HE Diploma or Access to HE Certificate (60 credits, 45 of which must be Level 3, including 30 at merit or higher). </span></li>
</ul>
<p><strong>English Language Requirements for International and EU Applicants</strong></p>
<p><span style=""font-weight: 400;"">IELTS 6.0 - for visa nationals, with a minimum score of IELTS 5.5 in each element.</span></p>
<p><strong>Course enquiries</strong></p>
<p>For further information about the programme or entry requirements, please email us at <a href=""mailto:admissions@bathspa.ac.uk"" target=""_blank"">admissions@bathspa.ac.uk</a>.</p></div>","<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We’ll help you develop as a person to achieve your potential through teaching you about accounting and how it works. You’ll graduate with potential for employment in different businesses; this could be an organisation, the private or public sector, a charity or possibly your own business. We aim to give you the skills to apply your knowledge in a wide range of situations in any sector.</span></p>
<p>Following a accounting pathway, you’ll develop specialist accounting skills. These include the ability to confidently interrogate financial information; understand costing concept; prepare overhead analysis sheets; make decisions employing marginal costing; and understand the nature and purpose of environmental accounting, and its link with social responsibility.</p>
<p><strong><span style=""font-weight: 400;"">You can also bring in modules from areas outside the accounting pathway if you want to explore issues around a particular ‘theme’, such as sustainability or global affairs.</span></strong></p></div>","<div class=""collapsible-content-text""><p><strong>Year one<br></strong><span style=""font-weight: 400;"">Gain a broad understanding of today’s business environment – from the context that organisations operate in through to trends in economic thinking and the importance of data in business. Modules will cover topics such as organisations and the business environment; economics and globalisation; managing data.<br><br></span><strong>Year two<br></strong>Focus on the inner workings of businesses. Use business techniques to solve problems and start developing the skills that employers look for. Modules cover key themes including creativity and innovation in business. At the end of the year, you can choose to embark on a ten-month business placement or a ten-week summer placement - applying what you’ve learned so far in the real world.</p>
<p><strong>Year three<br></strong>Develop and explore your business learning, with a focus on management accounting. Undertake an in-depth business research project in accounting. You’ll also have a chance to set up a business on your own or with fellow students. Other topics to explore include: managing sustainability; organisational strategy; new trends in management; creating and hosting festivals and events; and strategic human resource management.<br><br></p></div>","<div class=""collapsible-content-text""><p>Employers such as Logica, NHS, Liberty, Ocado, IBM, Marks and Spencer, American Express, Sky and Numatic International have recruited graduates from this course. Students have also gone into roles including Business Analyst, IT Services Analyst, Project Officer, Business Development Manager, Account Executive and Brand Planner.</p>
<p>Recent Business and Management graduates have gone into the following roles: Sales Campaign Manager, Social Media Marketing Manager, Stock Purchaser, Financial Planner, Product Development Advisor, Supply Analyst, Data Analyst, Marketing Executive, Strategist, Operations Manager, Marketing Analyst, Management Analyst, Social Media Content Creator, SEO Consultant, Marketing Executive, Merchandiser, Specialist Recruitment Consultant, Retail Systems Manager, Client Services Manager, Media Editor, Human Resources Officer and Catering and Events Manager.</p></div>"
"Business and Management, BA (Hons)",,,"https://www.bathspa.ac.uk/courses/ug-business-and-management/",,,,"Undergraduate degree - single or combined honours",,,,,,,13700,9250,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We accept a wide range of qualifications for entry to our undergraduate programmes. The main ones are listed below:</span></p>
<ul>
<li><span style=""font-weight: 400;"">A Level - grades BCC-CCC preferred. </span></li>
<li><span style=""font-weight: 400;"">BTEC - Extended Diploma grades from Distinction, Merit, Merit (DMM) to Merit, Merit, Merit (MMM) accepted in any subject.</span></li>
<li><span style=""font-weight: 400;"">International Baccalaureate - a minimum of 27 points are required.</span></li>
<li><span style=""font-weight: 400;"">Access to HE courses - typical offers for applicants with Access to HE will be the Access to HE Diploma or Access to HE Certificate (60 credits, 45 of which must be Level 3, including 30 at merit or higher). </span></li>
</ul>
<p><strong>English Language Requirements for International and EU Applicants</strong></p>
<p><span style=""font-weight: 400;"">IELTS 6.0 - for visa nationals, with a minimum score of IELTS 5.5 in each element.</span></p>
<p><strong>Course enquiries</strong></p>
<p><span style=""font-weight: 400;"">For further information about the programme or entry requirements, please email us at <a href=""mailto:admissions@bathspa.ac.uk"" target=""_blank"">admissions@bathspa.ac.uk</a>.<br></span></p></div>","<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We’ll help you develop as a person to achieve your potential through teaching you about business and how it works. You’ll graduate with potential for employment in different businesses; this could be an organisation, the private or public sector, a charity or possibly your own business. We aim to give you the skills to apply your knowledge in a wide range of situations in any sector.</span></p>
<p>You’ll have flexibility to choose modules that are of particular interest to you. You can also bring in modules from areas outside your course if you want to explore issues around a particular ‘theme’, such as sustainability or global affairs.</p></div>","<div class=""collapsible-content-text""><p><strong>Year one</strong><br>Gain a broad understanding of today’s business environment - from the context that organisations operate in through to trends in economic thinking and the importance of data in business. Modules will cover topics such as organisations and the business environment, economics and globalisation, and managing data.</p>
<p><strong>Year two</strong><br>Focus on the inner workings of businesses. Use business techniques to solve problems and start developing the skills that employers look for. Modules cover key themes including creativity and innovation in business. At the end of the year, you can choose to embark on a ten-month business placement or a ten-week summer placement - applying what you’ve learned so far in the real world.</p>
<p><strong>Year three</strong><br>Develop and explore your business learning and focus on the role of management. Undertake an in-depth business research project in your specialist area. You’ll also have a chance to set up a business on your own or with fellow students. Other topics to explore include: managing sustainability, new trends in management, and strategic human resource management.</p></div>","<div class=""collapsible-content-text""><p>Employers such as Logica, NHS, Liberty, Ocado, IBM, Marks and Spencer, American Express, Sky and Numatic International have recruited graduates from this course. Students have also gone into roles including Business Analyst, IT Services Analyst, Project Officer, Business Development Manager, Account Executive and Brand Planner.</p>
<p>Recent Business and Management graduates have gone into the following roles: Sales Campaign Manager, Social Media Marketing Manager, Stock Purchaser, Financial Planner, Product Development Advisor, Supply Analyst, Data Analyst, Marketing Executive, Strategist, Operations Manager, Marketing Analyst, Management Analyst, Social Media Content Creator, SEO Consultant, Marketing Executive, Merchandiser, Specialist Recruitment Consultant, Retail Systems Manager, Client Services Manager, Media Editor, Human Resources Officer and Catering and Events Manager.</p></div>"
"Business and Management, MA",,,"https://www.bathspa.ac.uk/courses/pg-business-and-management/ ",,,,"Postgraduate degree ",,,,,,,13700,7400,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p>You'll normally have a good undergraduate degree in any academic subject. You may be considered without an undergraduate degree, if you can demonstrate considerable relevant experience. You may be asked to attend an interview.</p>
<p>If English is not your first language, you'll need to provide evidence of proficiency in written and spoken English. A minimum language level of IELTS 6.0 (with 5.5 in each component) or equivalent is required.</p></div>","<div class=""collapsible-content-text""><p>Our courses are designed to allow you to tailor your programme of study to your academic interests and career aspirations. You’ll take a mix of taught modules (core and optional) and complete a major dissertation/consultancy project.</p>
<p>If you choose to study one of our Business and Management pathway routes, there are pathway-specific required modules, and your final dissertation/consultancy project will be in your chosen specialism.</p>
<p>In addition to the University’s <a href=""/international/support/english-language-unit/"">English Language Unit</a>, further support is offered to international students whose first language is not English via the <strong>Advanced Academic and Business Skills</strong> module. This module works in conjunction with your other modules to develop your employability, business and academic English language skills, and to help you build confidence in your own ability to work at postgraduate level in international, cultural and professional contexts.</p></div>",,"<div class=""collapsible-content-text""><p>This Master’s programme is designed to prepare you for a wide range of occupations in general management across all industry sectors and the international environment.</p>
<p>It delivers practical skills and techniques applicable to business and management careers in marketing, enterprise and business start-ups, accounting management and international business.</p>
<p>Depending on your pathway and the modules you study, we have a number of professional opportunities for further business and management sector accreditation. Please contact the course leader for more information.</p></div>"
"Business and Management (Economics), BA (Hons)",,,"https://www.bathspa.ac.uk/courses/ug-business-and-management-economics/",,,,"Undergraduate degree - single honours",,,,,,,13700,9250,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We accept a wide range of qualifications for entry to our undergraduate programmes. The main ones are listed below:</span></p>
<ul>
<li><span style=""font-weight: 400;"">A Level - grades BCC-CCC preferred. </span></li>
<li><span style=""font-weight: 400;"">BTEC - Extended Diploma grades from Distinction, Merit, Merit (DMM) to Merit, Merit, Merit (MMM) accepted in any subject.</span></li>
<li><span style=""font-weight: 400;"">International Baccalaureate - a minimum of 27 points are required.</span></li>
<li><span style=""font-weight: 400;"">Access to HE courses - typical offers for applicants with Access to HE will be the Access to HE Diploma or Access to HE Certificate (60 credits, 45 of which must be Level 3, including 30 at merit or higher). </span></li>
</ul>
<p><strong>English Language Requirements for International and EU Applicants</strong></p>
<p><span style=""font-weight: 400;"">IELTS 6.0 - for visa nationals, with a minimum score of IELTS 5.5 in each element.</span></p>
<p><strong>Course enquiries</strong></p>
<p>For further information about the programme or entry requirements, please email us at <a href=""mailto:admissions@bathspa.ac.uk"" target=""_blank"">admissions@bathspa.ac.uk</a>.</p></div>","<div class=""collapsible-content-text""><p>Economics is about choice and the impact of our choices on each other. When you study economics you gain a toolkit of skills, approaches and ways of thinking that you can apply to a wide range of problems.</p>
<p>The Economics pathway of this Business and Management degree will enable you to address global challenges and local opportunities by applying economics to policy problems - focusing on issues such as climate change, sustainability, wellbeing and obesity, inequality and unemployment.</p></div>","<div class=""collapsible-content-text""><p><strong>Year one</strong></p>
<p><span style=""font-weight: 400;"">The first year ensures you have a broad and grounded knowledge of business today, giving you a platform to develop specialised knowledge as you progress through the course. </span></p>
<p><span style=""font-weight: 400;"">You'll explore how organisations work, how they are managed and how they interact with the business environment. You'll gain an understanding of the fundamental principles of economics, including microeconomics and macroeconomics. You'll also develop management skills in gathering and assessing information and data, in making and communicating decisions and in evaluating their effect.</span></p>
<p><strong>Year two</strong></p>
<p>In year two, you'll specialise in economics as well as learning about the functions of a business and how these interrelate. You’ll start to form opinions about how businesses manage the challenges they encounter on a daily basis. You will learn to apply economic reasoning to the study of relevant problems and policies in economics. You will demonstrate an understanding of the graphical and statistical representation of economic ideas using the appropriate techniques. You will have the opportunity to work on projects using business techniques to solve problems, while starting to develop your employability skills before seeking a work placement.</p>
<p>At the end of the second year you have the option to choose either a ten-month placement or a shorter ten week placement in a business. This is an invaluable chance to apply your newly gained economics knowledge and business skills in the real world, making you even more attractive to employers.</p>
<p><strong>Year three</strong></p>
<p>In your final year, you'll practice, develop, challenge and explore all your business learning, and examine management as an integrating activity.</p>
<p>In your economics-related dissertation you'll explore in depth a topic that especially interests you - be it sustainability, real estate, wellbeing or the economic implications of current affairs - exhibiting an appropriate depth of analysis. You’ll also have the opportunity to work individually or with colleagues to develop and set up a business.</p></div>","<div class=""collapsible-content-text""><p>Employers such as Logica, NHS, Liberty, Ocado, IBM, Marks and Spencer, American Express, Sky and Numatic International have recruited graduates from this course. Students have also gone into roles including Business Analyst, IT Services Analyst, Project Officer, Business Development Manager, Account Executive and Brand Planner.</p>
<p>Recent Business and Management graduates have gone into the following roles: Sales Campaign Manager, Social Media Marketing Manager, Stock Purchaser, Financial Planner, Product Development Advisor, Supply Analyst, Data Analyst, Marketing Executive, Strategist, Operations Manager, Marketing Analyst, Management Analyst, Social Media Content Creator, SEO Consultant, Marketing Executive, Merchandiser, Specialist Recruitment Consultant, Retail Systems Manager, Client Services Manager, Media Editor, Human Resources Officer and Catering and Events Manager.</p></div>"
"Biology (Microbiology), BSc (Hons)",,,"https://www.bathspa.ac.uk/courses/ug-biology---microbiology/",,,,"Undergraduate degree - single honours",,,,,,,14700,9250,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We accept a wide range of qualifications for entry to our undergraduate programmes. The main ones are listed below: </span></p>
<ul>
<li><span style=""font-weight: 400;"">A Level - grades BCC-CCC including a Grade C in Biology, Human Biology, Biological Sciences or Social Biology.</span></li>
<li><span style=""font-weight: 400;"">BTEC - Extended Diploma grades from Distinction, Merit, Merit (DMM) to Merit, Merit, Merit (MMM) in a related subject. </span></li>
<li><span style=""font-weight: 400;"">International Baccalaureate - a minimum of 27 points are required with a minimum of Grade 6 in Biology or a related subject at Higher Level.</span></li>
<li><span style=""font-weight: 400;"">Access to HE courses - typical offers for applicants with Access to HE will be the Access to HE Diploma or Access to HE Certificate (60 credits, 45 of which must be Level 3, including 30 at merit or higher) in a science or related subject. </span></li>
</ul>
<p><strong>English Language Requirements for International and EU Applicants</strong></p>
<p><span style=""font-weight: 400;"">IELTS 6.0 - for visa nationals, with a minimum score of IELTS 5.5 in each element.</span></p>
<p><strong>Course enquiries</strong></p>
<p>For further information about the programme or entry requirements, please email us at <a href=""mailto:admissions@bathspa.ac.uk"" target=""_blank"">admissions@bathspa.ac.uk</a>.</p></div>","<div class=""collapsible-content-text""><p>This Microbiology course will introduce you to the microbial world, and teach you the skills to grow and identify microbes and explore their role in the environment, health, and in food safety and production. This course will focus primarily on bacteria although you'll also investigate fungi, viruses, archaea and other microbes.</p>
<p>You'll develop your understanding of microbes, beginning with cell structure, function and microbial evolution. Microbial metabolism and genetics will lead to an understanding of microbial systems and how microbes live in diverse and dynamic communities – and interact with other organisms in both beneficial and detrimental ways.</p>
<p>A key feature of this course will be the development of your laboratory and microscopy skills, enabling you to culture and identify microbes safely. This will culminate in a final year research dissertation that will allow you to investigate an aspect of microbiology within your own area of interest. </p>
<p>Ultimately, this course will allow you to gain an understanding of the nature and role of microbes and their fundamental role in life processes. As part of our broader Biology programme, our Microbiology degree will allow you to study other related modules <strong><span style=""font-weight: 400;"">– </span></strong> resulting in a diverse array of both analytical and research-based skills in the life sciences. </p></div>","<div class=""collapsible-content-text""><p><strong>Year one</strong><br>Your first year will cover microbiology fundamentals including classification, structure, function, growth and nutrition. Laboratory skills on safely and correctly culturing, counting and identifying microbes will be introduced.</p>
<p><strong>Year two</strong><br>In your second year, you'll study microbes in their natural environment and their interactions with other microbes and organisms. You'll also examine how to use practical techniques to diagnose disease, investigate antibiotic resistance, and research antibiotic producing bacteria. You'll further develop research skills in microbiology, and carry out an independent project.</p>
<p><strong>Year three</strong><br>Your final year will focus on more specific skills needed for the workplace, typically food manufacture, medical and environmental roles. You'll complete a microbiology dissertation project.</p></div>","<div class=""collapsible-content-text""><p>This course will prepare you for a career in such areas as:</p>
<ul>
<li>Public health</li>
<li>Clinical microbiology</li>
<li>Food microbiology</li>
<li>Quality assurance and safety</li>
<li>Environmental microbiology.</li>
</ul>
<p>You'll also be prepared to apply for postgraduate study such as a Master's or PhD, plus a wide range of careers outside of traditional science.</p></div>"
"Biology (Human Biology), BSc (Hons)",,,"https://www.bathspa.ac.uk/courses/ug-biology-human-biology/",,,,"Undergraduate degree - single honours",,,,,,,14700,9250,"Annual",2020,"Pound",,,5.5,5.5,5.5,5.5,6,,,,,,,,,,,,,,,,,,,,,,,"<div class=""collapsible-content-text""><p><span style=""font-weight: 400;"">We accept a wide range of qualifications for entry to our undergraduate programmes. The main ones are listed below: </span></p>
<ul>
<li><span style=""font-weight: 400;"">A Level - grades BCC-CCC including a Grade C in Biology, Human Biology, Biological Sciences or Social Biology.</span></li>
<li><span style=""font-weight: 400;"">BTEC - Extended Diploma grades from Distinction, Merit, Merit (DMM) to Merit, Merit, Merit (MMM) in a related subject. </span></li>
<li><span style=""font-weight: 400;"">International Baccalaureate - a minimum of 27 points are required with a minimum of Grade 6 in Biology or a related subject at Higher Level.</span></li>
<li><span style=""font-weight: 400;"">Access to HE courses - typical offers for applicants with Access to HE will be the Access to HE Diploma or Access to HE Certificate (60 credits, 45 of which must be Level 3, including 30 at merit or higher) in a science or related subject. </span></li>
</ul>
<p><strong>English Language Requirements for International and EU Applicants</strong></p>
<p><span style=""font-weight: 400;"">IELTS 6.0 - for visa nationals, with a minimum score of IELTS 5.5 in each element.</span></p>
<p><span style=""font-weight: 400;""><strong>Course enquiries</strong><br></span>For further information about the programme or other enquiries, please email us at <a href=""mailto:admissions@bathspa.ac.uk"">admissions@bathspa.ac.uk</a>.</p></div>","<div class=""collapsible-content-text""><p>Our Biology courses cover a broad range of fundamental topics such as cell biology and genetics, plant, animal and human biology. The core elements of the Human Biology pathway include applied anatomy and physiology, histology, microbiology and medical biology. There are a range of optional topics including biochemistry, psychology, and nutrition.</p>
<p>As well as learning about specific topics, you’ll develop a broad range of skills; some are specific to Biology, while others are useful in professional environments. The course is real-world focused; you’ll graduate as a professional biologist, prepared to solve a range of problems and keep up to date with scientific advances.</p></div>","<div class=""collapsible-content-text""><p><strong>Year one</strong><br>The first year focuses on fundamental biological topics such as cell biology, genetics, anatomy and physiology, evolution and classification. Compulsory elements include the study of the human body, using real-time data collected on lung and heart function, DNA analysis, and microscopic examination of tissues. Optional modules allow you to explore key biochemistry, nutrition and health, or introductory psychology.</p>
<p><strong>Year two</strong><br>The second year covers a range of important human, animal and plant biology. You’ll consider concepts such as ethics, biosecurity, and genetics. The ways in which humans can be affected by disease are also examined, including pathophysiology, nutrition and microbiology. The development of research skills are a focus at this level.</p>
<p>Optional modules in business, science publishing and psychology give more choice to your programme. There is an optional Professional Placement Year between your second and final year, giving you the opportunity to experience a relevant employment sector.</p>
<p><strong>Year three</strong><br>You’ll carry out an independent dissertation, analysing an area of interest in more detail. During this substantial research project you’ll be responsible for planning, implementing and analysing a biological study, for example this could be on microbiology, physiology, or biochemical analysis.</p>
<p>In addition, you’ll examine key concepts in medical biology including medical microbiology, pharmacology, histopathology, and haematology. You could also pursue optional topics in nutrition, food safety, animal behaviour, psychology or digital imaging.</p></div>","<div class=""collapsible-content-text""><p>Employment sectors include the NHS, the blood and transfusion service, research laboratories and areas such as quality control for biological equipment manufacturers.</p>
<p>Some graduates have gone on to Masters level study in areas such as forensic science, environmental health, toxicology, virology, biotechnology, and the NHS Scientist Training Programme. Others have studied for a PGCE in Secondary Science teaching.</p></div>"
